EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=604800
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-300
2,2.2712,2.3466,2.2634,0.0000,59781360,5
TIMEZONE_OFFSET=-240
a420494400,2.3284,2.3336,2.2348,0.0000,61621632,5
1,2.3206,2.344,2.2556,0.0000,82993440,5
2,2.2868,2.3258,2.2478,0.0000,48865008,5
3,2.1853,2.279,2.1697,0.0000,78385584,5
4,2.1671,2.2269,2.1567,0.0000,81100224,5
5,2.279,4.3758,2.1853,0.0000,46013184,5
6,2.253,2.3414,2.2478,0.0000,64951416,5
7,2.3622,2.4039,2.2582,0.0000,84603096,5
8,2.3102,2.3987,2.2998,0.0000,57722520,5
9,2.2686,2.3102,2.1749,0.0000,73258800,5
10,2.2165,2.2582,2.1957,0.0000,27644496,5
11,2.1073,2.2634,2.1021,0.0000,57256392,5
12,2.2269,2.2582,2.0604,0.0000,74921304,5
13,2.0761,2.279,2.0396,0.0000,77374200,5
14,2.0084,2.0865,1.9148,0.0000,98061288,5
15,2.0449,2.0761,1.9616,0.0000,65222832,5
16,1.9824,2.0917,1.9616,0.0000,88439592,5
17,2.0084,2.0136,1.946,0.0000,70952568,5
18,2.1125,2.1333,1.9876,0.0000,60160920,5
19,2.1333,2.1645,2.1073,0.0000,46140600,5
20,2.0813,2.1697,2.0396,0.0000,59702016,5
21,2.1697,2.1853,2.0761,0.0000,68759280,5
22,2.1957,2.2217,2.1541,0.0000,46190904,5
23,2.331,2.3362,2.1749,0.0000,84689424,5
24,2.2114,2.331,2.1749,0.0000,55483488,5
25,2.1905,2.2686,2.1749,0.0000,48663024,5
26,2.1645,2.2061,2.1177,0.0000,57924432,5
TIMEZONE_OFFSET=-300
a436827600,2.1593,2.1853,2.1229,0.0000,45205992,5
1,2.2894,2.3102,2.1281,0.0000,60723120,5
